Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Failure Type
L,302.5,312.0,1673.0,29.9,42.0,0,No Failure
L,302.4,311.9,1578.0,29.9,44.0,0,No Failure
M,302.5,312.0,1642.0,29.1,46.0,0,No Failure
M,302.4,311.8,1557.0,31.5,49.0,0,No Failure
L,302.5,311.9,1481.0,42.9,52.0,0,No Failure
M,302.5,311.8,1566.0,37.6,54.0,0,No Failure
M,302.5,311.9,1298.0,57.5,57.0,0,No Failure
M,302.5,311.9,1340.0,59.4,60.0,0,No Failure
L,302.5,312.0,1574.0,33.8,63.0,0,No Failure
L,302.5,311.9,1437.0,46.7,65.0,0,No Failure
L,302.6,311.9,1354.0,48.0,67.0,0,No Failure
L,302.6,311.9,1598.0,35.5,69.0,0,No Failure
M,302.7,312.0,1944.0,21.4,71.0,0,No Failure
M,302.7,312.0,1538.0,36.7,74.0,0,No Failure
L,302.7,312.0,1501.0,37.0,77.0,0,No Failure
L,302.8,312.1,1441.0,52.1,79.0,0,No Failure
M,302.7,312.0,1652.0,31.0,81.0,0,No Failure
L,302.8,312.1,1487.0,36.6,84.0,0,No Failure
L,302.9,312.2,1605.0,33.9,86.0,0,No Failure
L,302.9,312.1,1334.0,54.7,88.0,0,No Failure
L,302.9,312.2,1340.0,57.8,90.0,0,No Failure
L,302.9,312.2,1513.0,37.8,92.0,0,No Failure
L,302.9,312.2,1510.0,41.4,94.0,0,No Failure
L,302.9,312.2,1729.0,23.6,96.0,0,No Failure
M,302.9,312.2,1745.0,25.5,98.0,0,No Failure
M,303.1,312.3,1623.0,31.6,101.0,0,No Failure
M,303.1,312.4,1378.0,50.1,104.0,0,No Failure
L,303.1,312.4,1407.0,41.2,107.0,0,No Failure
M,303.0,312.3,1674.0,29.5,109.0,0,No Failure
L,303.0,312.3,1486.0,42.4,112.0,0,No Failure
M,303.0,312.3,1483.0,38.8,114.0,0,No Failure
H,303.0,312.2,1624.0,28.8,117.0,0,No Failure
M,303.0,312.2,1257.0,71.3,122.0,1,PWF
L,303.0,312.3,1480.0,41.4,125.0,0,No Failure
L,303.1,312.4,1404.0,61.5,127.0,1,PWF
M,303.0,312.4,1645.0,29.6,129.0,0,No Failure
L,303.0,312.3,1932.0,21.9,132.0,0,No Failure
L,303.0,312.3,1533.0,38.5,134.0,0,No Failure
M,302.9,312.2,1292.0,54.4,136.0,0,No Failure
L,302.9,312.2,1571.0,40.6,139.0,0,No Failure
L,302.9,312.3,1578.0,36.3,141.0,0,No Failure
M,302.8,312.2,1469.0,36.9,143.0,0,No Failure
L,302.7,312.1,1728.0,24.4,146.0,0,No Failure
H,302.7,312.1,1603.0,32.5,148.0,0,No Failure
L,302.7,312.1,1597.0,39.8,153.0,0,No Failure
L,302.7,312.1,1688.0,32.0,155.0,0,No Failure
L,302.7,312.2,1405.0,51.4,157.0,0,No Failure
M,302.8,312.2,1615.0,32.9,159.0,0,No Failure
L,302.8,312.2,1515.0,36.8,162.0,0,No Failure
L,302.7,312.2,1376.0,52.8,164.0,0,No Failure
L,302.7,312.2,1447.0,47.5,166.0,0,No Failure
M,302.6,312.2,1353.0,56.5,168.0,0,No Failure
L,302.6,312.1,1502.0,47.3,171.0,0,No Failure
L,302.6,312.0,1447.0,45.5,173.0,0,No Failure
M,302.5,312.0,1487.0,46.1,175.0,0,No Failure
L,302.6,312.1,1519.0,38.1,178.0,0,No Failure
L,302.6,312.1,1420.0,51.6,182.0,0,No Failure
L,302.6,312.1,1473.0,37.3,184.0,0,No Failure
L,302.5,312.0,1495.0,38.8,186.0,0,No Failure
L,302.5,312.0,1574.0,42.0,188.0,0,No Failure
L,302.5,312.0,1383.0,51.3,190.0,0,No Failure
M,302.5,312.0,1591.0,29.4,192.0,0,No Failure
M,302.4,311.8,1644.0,37.2,195.0,0,No Failure
H,302.5,311.8,2370.0,14.7,198.0,0,No Failure
L,302.5,311.9,1401.0,44.9,203.0,0,No Failure
M,302.5,311.9,1414.0,51.6,205.0,0,No Failure
L,302.5,312.0,1456.0,46.3,208.0,0,No Failure
M,302.5,312.0,1447.0,45.7,210.0,0,No Failure
L,302.4,311.8,1727.0,26.5,213.0,0,No Failure
L,302.4,311.7,1495.0,36.8,215.0,0,No Failure
L,302.3,311.6,1544.0,34.3,0.0,0,No Failure
L,302.3,311.5,1387.0,47.3,2.0,0,No Failure
M,302.3,311.5,1316.0,47.2,4.0,0,No Failure
L,302.3,311.5,1794.0,26.1,7.0,0,No Failure
M,302.2,311.4,1372.0,55.1,9.0,0,No Failure
M,302.3,311.5,1674.0,30.0,12.0,0,No Failure
L,302.2,311.4,1477.0,41.7,15.0,0,No Failure
L,302.2,311.4,1397.0,53.0,17.0,0,No Failure
L,302.2,311.5,1616.0,34.0,19.0,0,No Failure
M,302.3,311.5,1530.0,42.3,21.0,0,No Failure
M,302.2,311.4,1539.0,35.1,24.0,0,No Failure
L,302.3,311.4,1845.0,21.9,27.0,0,No Failure
L,302.2,311.4,1430.0,43.1,29.0,0,No Failure
L,302.2,311.4,2080.0,19.2,31.0,0,No Failure
M,302.2,311.4,1432.0,45.3,33.0,0,No Failure
M,302.2,311.5,1479.0,39.5,36.0,0,No Failure
L,302.2,311.5,1424.0,45.2,39.0,0,No Failure
H,302.2,311.6,1534.0,37.2,41.0,0,No Failure
H,302.1,311.6,1701.0,26.2,46.0,0,No Failure
L,302.2,311.6,1462.0,50.0,51.0,0,No Failure
M,302.2,311.7,1393.0,42.5,53.0,0,No Failure
M,302.3,311.7,1453.0,42.5,56.0,0,No Failure
L,302.3,311.8,1565.0,37.8,59.0,0,No Failure
L,302.3,311.8,1281.0,51.7,61.0,0,No Failure
M,302.2,311.7,1584.0,36.2,63.0,0,No Failure
M,302.2,311.7,1466.0,49.0,66.0,0,No Failure
M,302.2,311.6,1386.0,50.5,69.0,0,No Failure
L,302.2,311.6,1383.0,44.3,72.0,0,No Failure
H,302.3,311.6,1441.0,53.9,74.0,0,No Failure
M,302.2,311.6,1592.0,37.7,79.0,0,No Failure
H,302.2,311.6,1594.0,36.8,82.0,0,No Failure
L,302.2,311.5,1482.0,45.6,87.0,0,No Failure
L,302.2,311.6,1658.0,31.4,89.0,0,No Failure
L,302.3,311.7,2170.0,18.2,91.0,0,No Failure
M,302.3,311.7,1423.0,44.6,93.0,0,No Failure
L,302.4,311.8,1543.0,31.1,96.0,0,No Failure
L,302.3,311.8,1435.0,44.8,98.0,0,No Failure
L,302.4,311.8,1320.0,56.4,100.0,0,No Failure
M,302.4,311.9,1313.0,55.7,102.0,0,No Failure
M,302.4,311.8,1453.0,42.1,105.0,0,No Failure
L,302.4,311.8,1508.0,45.7,108.0,0,No Failure
L,302.4,311.8,1451.0,42.0,110.0,0,No Failure
H,302.5,311.9,1595.0,34.6,112.0,0,No Failure
L,302.5,311.9,1354.0,49.4,117.0,0,No Failure
L,302.5,311.9,1265.0,59.8,119.0,0,No Failure
L,302.4,311.9,1867.0,25.9,121.0,0,No Failure
L,302.5,311.9,1497.0,41.6,123.0,0,No Failure
M,302.5,311.9,1347.0,54.3,125.0,0,No Failure
L,302.3,311.7,1544.0,43.2,128.0,0,No Failure
H,302.3,311.7,1456.0,45.4,130.0,0,No Failure
L,302.5,311.8,1335.0,52.7,135.0,0,No Failure
L,302.4,311.9,1452.0,43.1,137.0,0,No Failure
L,302.4,311.9,1290.0,70.0,139.0,1,PWF
L,302.4,311.8,1448.0,43.4,141.0,0,No Failure
L,302.3,311.7,1611.0,38.6,143.0,0,No Failure
L,302.2,311.7,1556.0,38.6,145.0,0,No Failure
H,302.2,311.7,1413.0,46.5,147.0,0,No Failure
L,302.2,311.6,1545.0,35.9,152.0,0,No Failure
L,302.2,311.7,1330.0,54.6,154.0,0,No Failure
L,302.2,311.9,1596.0,38.0,156.0,0,No Failure
L,302.2,311.8,1618.0,36.0,158.0,0,No Failure
H,302.2,311.9,1597.0,35.8,160.0,0,No Failure
L,302.3,312.0,1354.0,52.2,165.0,0,No Failure
L,302.3,312.0,1746.0,28.1,167.0,0,No Failure
L,302.4,312.0,1621.0,32.5,169.0,0,No Failure
L,302.3,312.0,1398.0,43.3,171.0,0,No Failure
L,302.3,311.9,1434.0,51.9,173.0,0,No Failure
M,302.3,311.8,1443.0,43.4,175.0,0,No Failure
L,302.2,311.7,1488.0,44.6,178.0,0,No Failure
M,302.3,311.8,1475.0,48.0,180.0,0,No Failure
L,302.3,311.8,1433.0,50.3,183.0,0,No Failure
M,302.3,311.8,1557.0,34.1,185.0,0,No Failure
M,302.4,311.9,1398.0,50.1,188.0,0,No Failure
M,302.3,311.8,1559.0,34.4,191.0,0,No Failure
M,302.4,311.9,1422.0,46.4,194.0,0,No Failure
M,302.3,311.8,1463.0,35.7,197.0,0,No Failure
L,302.3,311.7,1793.0,25.3,200.0,0,No Failure
L,302.2,311.6,1872.0,20.4,202.0,0,No Failure
L,302.2,311.7,1412.0,44.5,204.0,0,No Failure
L,302.3,311.8,1487.0,43.2,206.0,0,No Failure
L,302.3,311.8,1369.0,56.2,208.0,1,OSF
L,302.4,311.8,1673.0,30.1,210.0,0,No Failure
M,302.4,311.9,1439.0,36.6,212.0,0,No Failure
L,302.3,311.8,1574.0,42.8,215.0,0,No Failure
L,302.3,311.7,1281.0,48.8,0.0,0,No Failure
M,302.2,311.7,1653.0,31.4,2.0,0,No Failure
M,302.3,311.7,1535.0,38.3,5.0,0,No Failure
M,302.3,311.7,1483.0,40.5,8.0,0,No Failure
L,302.3,311.7,1414.0,47.0,11.0,0,No Failure
M,302.2,311.6,1379.0,42.9,13.0,0,No Failure
H,302.2,311.5,1482.0,42.6,16.0,0,No Failure
L,302.1,311.5,1987.0,20.1,21.0,0,No Failure
M,302.1,311.5,1635.0,31.6,23.0,0,No Failure
L,302.1,311.5,1533.0,39.4,26.0,0,No Failure
M,302.2,311.7,1576.0,34.0,28.0,0,No Failure
H,302.2,311.8,1330.0,62.4,31.0,0,No Failure
L,302.2,311.8,1981.0,21.8,36.0,0,No Failure
H,302.3,311.8,1475.0,42.8,38.0,0,No Failure
H,302.3,311.8,1804.0,25.0,43.0,0,No Failure
L,302.2,311.6,1416.0,54.1,48.0,0,No Failure
L,302.1,311.5,1727.0,27.7,50.0,0,No Failure
L,302.1,311.4,1391.0,49.2,52.0,0,No Failure
M,302.0,311.5,1366.0,52.3,54.0,0,No Failure
L,301.9,311.3,1366.0,55.6,57.0,0,No Failure
L,301.9,311.3,1501.0,40.8,59.0,0,No Failure
L,301.8,311.3,1551.0,35.8,61.0,0,No Failure
M,301.9,311.3,1522.0,35.6,63.0,0,No Failure
L,301.9,311.2,1369.0,49.8,66.0,0,No Failure
L,301.8,311.2,1334.0,52.3,68.0,0,No Failure
H,301.8,311.2,1451.0,39.4,70.0,0,No Failure
L,301.7,311.2,1589.0,37.9,75.0,0,No Failure
L,301.7,311.3,1708.0,30.5,77.0,0,No Failure
M,301.7,311.2,1413.0,42.6,79.0,0,No Failure
M,301.6,311.2,1415.0,46.5,82.0,0,No Failure
L,301.7,311.3,1421.0,45.9,85.0,0,No Failure
L,301.7,311.3,1348.0,51.0,87.0,0,No Failure
L,301.6,311.2,1408.0,42.9,89.0,0,No Failure
L,301.6,311.2,1525.0,43.7,91.0,0,No Failure
L,301.6,311.3,1706.0,29.9,93.0,0,No Failure
H,301.6,311.2,1395.0,46.8,95.0,0,No Failure
L,301.5,311.1,1602.0,34.3,100.0,0,No Failure
L,301.6,311.1,1907.0,21.5,102.0,0,No Failure
L,301.6,311.1,1325.0,49.2,104.0,0,No Failure
L,301.6,311.1,1408.0,44.4,106.0,0,No Failure
M,301.7,311.1,1489.0,41.4,108.0,0,No Failure
L,301.6,311.1,1680.0,29.2,111.0,0,No Failure
L,301.7,311.2,1517.0,42.4,113.0,0,No Failure
M,301.7,311.1,1618.0,36.7,115.0,0,No Failure
L,301.7,311.1,1455.0,39.8,118.0,0,No Failure
H,301.8,311.1,1543.0,36.4,120.0,0,No Failure
M,301.8,311.1,1399.0,41.8,125.0,0,No Failure
L,301.7,311.1,1469.0,37.2,128.0,0,No Failure
L,301.7,311.2,1521.0,36.7,130.0,0,No Failure
L,301.7,311.3,1584.0,38.8,132.0,0,No Failure
L,301.8,311.5,1443.0,43.3,134.0,0,No Failure
M,301.8,311.5,1416.0,49.0,136.0,0,No Failure
M,301.7,311.2,1563.0,34.5,139.0,0,No Failure
M,301.8,311.3,1542.0,40.1,142.0,0,No Failure
M,301.8,311.3,1624.0,31.6,145.0,0,No Failure
L,301.8,311.3,1471.0,44.2,148.0,0,No Failure
M,301.9,311.5,1492.0,40.8,150.0,0,No Failure
M,301.9,311.4,1465.0,39.9,153.0,0,No Failure
L,301.7,311.1,1399.0,55.1,156.0,0,No Failure
L,301.6,311.0,1431.0,42.6,158.0,0,No Failure
L,301.5,310.9,1600.0,39.0,160.0,0,No Failure
L,301.5,310.8,1593.0,34.5,162.0,0,No Failure
L,301.5,310.9,1469.0,44.7,164.0,0,No Failure
L,301.5,310.8,1413.0,44.6,166.0,0,No Failure
L,301.4,310.8,1490.0,38.0,168.0,0,No Failure
L,301.5,310.9,1671.0,31.1,170.0,0,No Failure
L,301.5,310.9,1365.0,46.5,172.0,0,No Failure
M,301.4,310.9,1557.0,39.3,174.0,0,No Failure
L,301.4,310.9,1440.0,45.4,177.0,0,No Failure
M,301.4,310.9,1489.0,38.9,179.0,0,No Failure
L,301.4,311.0,1733.0,25.7,182.0,0,No Failure
H,301.3,311.0,1580.0,36.6,184.0,0,No Failure
L,301.3,311.0,1856.0,21.9,189.0,0,No Failure
L,301.3,311.1,1454.0,40.3,191.0,0,No Failure
L,301.4,311.1,1495.0,36.3,193.0,0,No Failure
L,301.2,311.0,1761.0,29.1,195.0,0,No Failure
M,301.3,311.0,1402.0,47.5,197.0,0,No Failure
L,301.2,311.0,1670.0,33.0,200.0,0,No Failure
L,301.3,311.0,1582.0,35.6,202.0,0,No Failure
L,301.3,311.0,1542.0,35.1,204.0,0,No Failure
L,301.3,311.0,1539.0,36.9,206.0,0,No Failure
L,301.3,311.0,1418.0,41.9,208.0,0,No Failure
L,301.3,311.1,1723.0,27.6,210.0,0,No Failure
L,301.3,311.1,1303.0,49.2,212.0,0,No Failure
M,301.3,311.0,1463.0,50.2,214.0,0,No Failure
L,301.2,311.0,1544.0,39.3,217.0,0,No Failure
L,301.2,311.0,1596.0,37.2,219.0,0,No Failure
L,301.3,311.1,1413.0,42.0,221.0,0,No Failure
M,301.3,311.1,1492.0,41.2,223.0,0,No Failure
L,301.3,311.1,1624.0,40.9,0.0,0,No Failure
L,301.3,311.1,1504.0,39.1,2.0,0,No Failure
M,301.2,311.1,1574.0,34.3,4.0,0,No Failure
M,301.3,311.2,1438.0,42.4,7.0,0,No Failure
L,301.3,311.3,1474.0,50.7,10.0,0,No Failure
L,301.3,311.2,1675.0,32.1,12.0,0,No Failure
L,301.3,311.2,1457.0,44.5,14.0,0,No Failure
L,301.3,311.3,1434.0,49.8,16.0,0,No Failure
L,301.3,311.2,1668.0,30.1,18.0,0,No Failure
L,301.2,311.1,1550.0,39.7,20.0,0,No Failure
M,301.3,311.1,1834.0,25.4,22.0,0,No Failure
M,301.4,311.2,1476.0,36.5,25.0,0,No Failure
M,301.4,311.2,1541.0,36.3,28.0,0,No Failure
M,301.3,311.1,1581.0,30.9,31.0,0,No Failure
M,301.3,311.1,1678.0,30.7,34.0,0,No Failure
L,301.4,311.2,1355.0,50.6,37.0,0,No Failure
L,301.5,311.2,1700.0,28.8,39.0,0,No Failure
L,301.4,311.1,1462.0,37.1,41.0,0,No Failure
M,301.4,311.2,1727.0,26.5,43.0,0,No Failure
L,301.4,311.3,1674.0,33.3,46.0,0,No Failure
L,301.4,311.3,1397.0,42.3,48.0,0,No Failure
L,301.4,311.3,2323.0,15.9,50.0,0,No Failure
M,301.4,311.2,1434.0,47.6,52.0,0,No Failure
L,301.3,311.1,1560.0,35.3,55.0,0,No Failure
L,301.2,311.0,1573.0,32.8,57.0,0,No Failure
H,301.2,310.9,1798.0,22.3,59.0,0,No Failure
L,301.2,311.0,1567.0,35.1,64.0,0,No Failure
L,301.2,310.9,1416.0,53.3,66.0,0,No Failure
M,301.2,310.9,1424.0,45.2,68.0,0,No Failure
H,301.2,310.9,1598.0,35.9,71.0,0,No Failure
L,301.3,310.9,1760.0,23.9,76.0,0,No Failure
L,301.3,311.0,1348.0,44.5,78.0,0,No Failure
L,301.3,311.0,1542.0,33.6,80.0,0,No Failure
L,301.3,310.9,1566.0,33.1,82.0,0,No Failure
L,301.3,311.0,1554.0,47.7,84.0,0,No Failure
L,301.4,311.0,1470.0,40.6,86.0,0,No Failure
M,301.4,311.1,1758.0,25.4,88.0,0,No Failure
M,301.4,311.0,1486.0,36.5,91.0,0,No Failure
M,301.5,311.1,1402.0,40.0,94.0,0,No Failure
L,301.5,311.1,1459.0,45.1,97.0,0,No Failure
L,301.5,311.0,1494.0,45.3,99.0,0,No Failure
L,301.5,311.1,1731.0,27.9,101.0,0,No Failure
L,301.5,311.1,2076.0,18.7,103.0,0,No Failure
L,301.5,311.1,2055.0,16.8,105.0,0,No Failure
L,301.5,311.1,1469.0,49.5,107.0,0,No Failure
M,301.5,311.0,1504.0,42.6,109.0,0,No Failure
M,301.5,311.1,1396.0,43.5,112.0,0,No Failure
M,301.5,311.1,1660.0,33.8,115.0,0,No Failure
M,301.5,311.0,1577.0,39.7,118.0,0,No Failure
L,301.5,311.1,1426.0,52.1,121.0,0,No Failure
L,301.5,311.1,1458.0,41.4,123.0,0,No Failure
L,301.4,311.0,1533.0,45.8,125.0,0,No Failure
L,301.4,311.0,1701.0,28.4,127.0,0,No Failure
L,301.5,311.1,1434.0,49.6,129.0,0,No Failure
L,301.4,311.1,1952.0,22.7,131.0,0,No Failure
L,301.4,311.1,1469.0,36.9,133.0,0,No Failure
L,301.4,311.1,1800.0,26.0,135.0,0,No Failure
M,301.3,311.1,1438.0,43.0,137.0,0,No Failure
L,301.3,311.1,1647.0,28.2,140.0,0,No Failure
L,301.4,311.1,1494.0,41.9,142.0,0,No Failure
H,301.4,311.1,1445.0,41.4,144.0,0,No Failure
M,301.5,311.1,1507.0,38.6,149.0,0,No Failure
M,301.4,311.0,1234.0,55.8,152.0,0,No Failure
L,301.4,311.0,1634.0,32.6,155.0,0,No Failure
L,301.4,311.0,1334.0,53.3,157.0,0,No Failure
L,301.4,311.1,1472.0,44.5,159.0,0,No Failure
M,301.3,311.0,1410.0,52.7,161.0,0,No Failure
L,301.2,310.9,1597.0,37.9,164.0,0,No Failure
M,301.2,310.9,1460.0,46.7,166.0,0,No Failure
L,301.1,310.8,1274.0,55.7,169.0,0,No Failure
M,301.0,310.7,1517.0,40.2,171.0,0,No Failure
L,301.0,310.7,1300.0,57.2,174.0,0,No Failure
H,300.9,310.6,1686.0,27.7,176.0,0,No Failure
M,300.9,310.7,1485.0,41.0,181.0,0,No Failure
L,301.0,310.7,1464.0,45.8,184.0,0,No Failure
L,300.9,310.6,1598.0,35.4,186.0,0,No Failure
L,300.9,310.5,1894.0,21.9,188.0,0,No Failure
M,300.8,310.5,1330.0,59.0,190.0,0,No Failure
H,300.8,310.5,1582.0,31.1,193.0,0,No Failure
L,300.7,310.3,1533.0,35.6,198.0,0,No Failure
H,300.8,310.4,1419.0,46.4,200.0,0,No Failure
M,300.8,310.3,1526.0,36.3,205.0,0,No Failure
H,300.7,310.2,1364.0,65.3,208.0,1,TWF
M,300.8,310.3,1458.0,43.4,0.0,0,No Failure
M,300.8,310.4,1288.0,64.0,3.0,0,No Failure
M,300.7,310.3,1659.0,29.8,6.0,0,No Failure
H,300.7,310.2,1479.0,52.3,9.0,0,No Failure
L,300.7,310.3,1592.0,36.0,14.0,0,No Failure
M,300.6,310.2,1532.0,38.7,16.0,0,No Failure
L,300.6,310.2,1555.0,41.9,19.0,0,No Failure
L,300.6,310.2,1341.0,52.6,21.0,0,No Failure
L,300.6,310.1,1541.0,42.0,23.0,0,No Failure
L,300.6,310.3,1414.0,50.6,25.0,0,No Failure
L,300.5,310.2,1764.0,25.9,27.0,0,No Failure
L,300.5,310.3,1336.0,57.1,29.0,0,No Failure
L,300.5,310.3,1435.0,43.3,31.0,0,No Failure
M,300.4,310.3,1537.0,35.0,33.0,0,No Failure
L,300.3,310.2,1369.0,48.8,36.0,0,No Failure
M,300.2,310.1,1619.0,31.3,38.0,0,No Failure
L,300.2,310.1,1440.0,51.1,41.0,0,No Failure
L,300.2,310.1,1649.0,30.5,43.0,0,No Failure
M,300.2,310.1,1550.0,38.7,45.0,0,No Failure
L,300.3,310.2,1471.0,45.2,48.0,0,No Failure
L,300.3,310.3,1483.0,51.6,50.0,0,No Failure
L,300.3,310.4,1336.0,54.4,52.0,0,No Failure
L,300.5,310.5,1515.0,36.6,54.0,0,No Failure
L,300.5,310.5,1373.0,47.4,56.0,0,No Failure
H,300.6,310.5,1454.0,51.2,58.0,0,No Failure
L,300.5,310.5,1646.0,34.5,63.0,0,No Failure
M,300.5,310.4,1548.0,37.3,65.0,0,No Failure
M,300.6,310.5,1462.0,41.3,68.0,0,No Failure
L,300.5,310.4,1702.0,33.1,71.0,0,No Failure
L,300.5,310.5,1409.0,60.9,73.0,0,No Failure
M,300.6,310.6,1427.0,52.8,75.0,0,No Failure
L,300.7,310.7,1450.0,43.4,80.0,0,No Failure
L,300.7,310.7,1541.0,41.3,82.0,0,No Failure
M,300.7,310.6,1484.0,38.0,84.0,0,No Failure
M,300.8,310.8,1415.0,44.5,87.0,0,No Failure
L,300.7,310.8,1496.0,46.4,90.0,0,No Failure
M,300.7,310.8,1465.0,45.2,92.0,0,No Failure
L,300.7,310.8,2113.0,18.5,95.0,0,No Failure
M,300.7,310.8,1506.0,44.0,97.0,0,No Failure
L,300.7,310.8,1689.0,28.9,100.0,0,No Failure
L,300.7,310.9,1650.0,29.4,102.0,0,No Failure
L,300.7,310.8,1563.0,33.8,104.0,0,No Failure
M,300.7,310.9,1486.0,38.9,106.0,0,No Failure
L,300.8,310.9,1732.0,25.7,109.0,0,No Failure
L,300.7,310.8,1653.0,31.6,111.0,0,No Failure
L,300.7,310.9,1535.0,37.1,113.0,0,No Failure
L,300.7,310.9,1637.0,37.2,115.0,0,No Failure
L,300.6,310.8,1533.0,38.5,117.0,0,No Failure
L,300.6,310.8,1378.0,51.2,119.0,0,No Failure
L,300.5,310.7,1606.0,33.5,121.0,0,No Failure
L,300.3,310.7,1539.0,32.3,123.0,0,No Failure
L,300.5,310.8,1728.0,26.3,125.0,0,No Failure
H,300.4,310.7,1656.0,36.3,127.0,0,No Failure
H,300.5,310.8,1631.0,30.5,132.0,0,No Failure
H,300.5,310.9,1447.0,46.5,137.0,0,No Failure
L,300.4,310.8,1396.0,49.3,142.0,0,No Failure
L,300.4,310.8,1390.0,52.5,144.0,0,No Failure
L,300.4,310.8,1348.0,56.0,146.0,0,No Failure
M,300.4,310.8,1491.0,35.9,148.0,0,No Failure
L,300.4,310.8,1520.0,37.6,151.0,0,No Failure
L,300.5,310.8,1509.0,33.0,153.0,0,No Failure
L,300.5,310.8,1445.0,46.6,155.0,0,No Failure
L,300.5,310.8,1354.0,51.8,157.0,0,No Failure
L,300.5,310.7,1488.0,39.4,159.0,0,No Failure
H,300.5,310.7,1654.0,28.6,161.0,0,No Failure
H,300.5,310.6,1378.0,51.5,166.0,0,No Failure
L,300.6,310.7,1750.0,30.6,171.0,0,No Failure
L,300.5,310.6,1448.0,46.3,173.0,0,No Failure
H,300.6,310.7,1501.0,45.3,175.0,0,No Failure
M,300.6,310.7,1654.0,32.0,180.0,0,No Failure
M,300.7,310.7,1347.0,46.5,183.0,0,No Failure
L,300.7,310.8,1486.0,37.1,186.0,0,No Failure
H,300.8,310.8,1466.0,45.2,188.0,0,No Failure
H,300.7,310.8,1346.0,52.0,193.0,0,No Failure
L,300.7,310.7,1314.0,42.4,198.0,0,No Failure
L,300.6,310.7,1440.0,52.5,200.0,0,No Failure
L,300.7,310.8,1608.0,39.5,202.0,0,No Failure
H,300.7,310.8,1296.0,58.2,204.0,0,No Failure
L,300.7,310.7,1507.0,46.1,209.0,0,No Failure
M,300.7,310.7,1343.0,51.6,211.0,0,No Failure
L,300.7,310.7,1416.0,40.4,214.0,0,No Failure
L,300.7,310.6,1288.0,47.2,216.0,0,No Failure
M,300.7,310.6,1407.0,42.4,218.0,0,No Failure
L,300.6,310.4,1608.0,39.2,221.0,0,No Failure
L,300.6,310.3,1920.0,22.3,223.0,0,No Failure
M,300.5,310.2,1386.0,48.2,225.0,0,No Failure
M,300.5,310.2,1571.0,34.6,228.0,0,No Failure
M,300.4,310.2,1613.0,36.9,231.0,0,No Failure
M,300.4,310.2,1671.0,30.5,234.0,1,TWF
H,300.4,310.2,1431.0,43.2,0.0,0,No Failure
M,300.4,310.2,1380.0,47.3,5.0,0,No Failure
L,300.5,310.3,1683.0,31.5,8.0,0,No Failure
L,300.4,310.2,1529.0,36.2,10.0,0,No Failure
L,300.5,310.4,1761.0,26.5,12.0,0,No Failure
L,300.6,310.5,1570.0,38.3,14.0,0,No Failure
M,300.6,310.5,2156.0,18.0,16.0,0,No Failure
M,300.7,310.6,1349.0,54.5,19.0,0,No Failure
L,300.7,310.7,1431.0,39.3,22.0,0,No Failure
L,300.6,310.6,1931.0,22.0,24.0,0,No Failure
H,300.7,310.7,1428.0,43.4,26.0,0,No Failure
L,300.8,310.8,1564.0,36.2,31.0,0,No Failure
H,300.8,310.9,1425.0,44.0,33.0,0,No Failure
L,300.7,310.8,1597.0,30.5,38.0,0,No Failure
H,300.8,310.8,1618.0,32.8,40.0,0,No Failure
M,300.8,310.8,1520.0,38.0,45.0,0,No Failure
L,300.7,310.7,1425.0,45.3,48.0,0,No Failure
L,300.8,310.9,1398.0,38.2,50.0,0,No Failure
M,300.8,310.9,1557.0,31.6,52.0,0,No Failure
L,300.7,310.8,1519.0,43.9,55.0,0,No Failure
L,300.7,310.8,1619.0,34.9,57.0,0,No Failure
L,300.7,310.8,1814.0,21.4,59.0,0,No Failure
L,300.7,310.9,1521.0,39.4,61.0,0,No Failure
M,300.7,310.9,1369.0,51.2,63.0,0,No Failure
L,300.7,310.9,1356.0,65.3,66.0,1,PWF
L,300.7,311.0,1336.0,53.3,68.0,0,No Failure
L,300.7,311.0,1403.0,48.3,70.0,0,No Failure
M,300.7,311.0,1413.0,44.3,72.0,0,No Failure
L,300.6,310.9,1472.0,47.6,75.0,0,No Failure
M,300.7,310.8,1452.0,47.9,77.0,0,No Failure
L,300.6,310.7,1397.0,53.7,80.0,0,No Failure
L,300.6,310.7,1455.0,40.6,82.0,0,No Failure
L,300.7,310.8,1754.0,27.7,84.0,0,No Failure
L,300.6,310.9,1471.0,37.9,86.0,0,No Failure
M,300.6,310.8,1389.0,48.1,88.0,0,No Failure
M,300.6,310.9,1702.0,30.3,91.0,0,No Failure
M,300.6,311.0,1401.0,54.6,94.0,0,No Failure
L,300.7,311.1,1426.0,46.2,97.0,0,No Failure
L,300.7,311.0,1496.0,38.3,99.0,0,No Failure
L,300.6,310.9,1433.0,42.6,101.0,0,No Failure
M,300.7,311.1,1438.0,46.6,103.0,0,No Failure
M,300.7,311.0,1418.0,49.3,106.0,0,No Failure
M,300.8,311.0,1580.0,36.6,109.0,0,No Failure
M,300.7,310.9,1468.0,41.8,112.0,0,No Failure
M,300.8,310.9,1522.0,41.7,115.0,0,No Failure
L,300.8,310.9,1311.0,55.8,118.0,0,No Failure
L,300.9,311.0,1316.0,56.5,120.0,0,No Failure
H,300.9,311.0,1853.0,23.6,122.0,0,No Failure
M,300.9,311.0,1556.0,38.8,127.0,0,No Failure
